Item_Name,SKU,GMV,Units_Sold,Orders,Offer_Pageviews,Offer_Conversion,Item_id,Base_Item_Id,Item_Pageviews,Item_Conversion,Auth_Sales,Cancelled_Sales,Refund_Sales,Department,Brand,Listing_Quality_Score,GMV_Minus_Commission,AUR,Cancelled_Units,Item_Condition
"Dell Optiplex 3020 Desktop Computer, Intel Core I5, 16GB RAM 500GB HDD Windows 11 Pro, Includes 19 in , USB Keyboard and Mouse 1 (Monitor Not Included)",ZR1-TYVK-X2T,331.52,2,2,15,13.333333333333334,116088834,116088834,20,10.0,331.52,0.00,0.00,COMPUTING,Dell,100.0,311.62,165.76000000000000000,0,New
"Pre-Owned Dell OptiPlex 7010 Desktop PC Tower with Windows 11, Intel Core i3 Processor, 4GB RAM, 160GB HDD, DVD Drive, Wi-Fi, and 19 - Used",CHG-34-HCJ,293.82,2,2,4,50.0,3551451780,3551451780,9,22.22222222222222,293.82,0.00,0.00,TABLETS,Dell,78.49854755401611,276.20,146.91000000000000000,0,Pre-Owned: Like New
"Dell Optiplex 790 Desktop Computer PC, 3.40 GHz Intel i7 Quad Core Gen 2, 4GB DDR3 RAM, 250GB SATA Hard Drive, Windows 10 Home 64bit",B3S-SZ5-FVN,0.00,0,1,2,50.0,149457107,149457107,2,50.0,154.87,0.00,154.87,TABLETS,Dell,33.333333333333336,0.00,154.87000000000000000,0,New
"Dell Optiplex 7010 Desktop Computer PC, 3.20 GHz Intel i5 Quad Core Gen 3, 16GB DDR3 RAM, 2TB Hard Disk Drive (HDD) SATA Hard Drive, Windows 11 Professional 64bit (Monitor Not Included)",I9Z-FYQE-2YO,0.00,0,1,1,100.0,486801795,486801795,20,5.0,190.65,190.65,0.00,COMPUTING,Dell,50.0,0.00,190.65000000000000000,1,New
Dell OptiPlex 7020 SFF Intel i5-4590 3.30Ghz 8GB RAM 2TB HDD Win 10 Pro,H0V-V3P-4K72,0.00,0,1,5,20.0,887150010,887150010,6,16.666666666666664,241.19,0.00,241.19,TABLETS,Dell,16.326557159423828,0.00,241.19000000000000000,0,Restored: Like New
Used: Dell OptiPlex 3020 Desktop Computer - Intel Core i5 i5-4590 3.30 GHz - Small Form Factor,AIQ-H4M-QUI,-108.79,-1,0,0,"",376204632,376204632,0,"",0.00,0.00,108.79,TABLETS,Dell,0.0,-102.26,"",0,Restored: Like New
"Pre-Owned Dell OptiPlex 7010 Windows 11 Professional Desktop Computer Bundle Intel Core i5 Processor 8GB RAM 500GB Hard Drive DVD-RW with 19"" LCD Wifi Keyboard and Mouse - Used",IFJ-88-YQT,0.00,0,0,0,"",3643049330,3643049330,0,"",0.00,0.00,0.00,TABLETS,Dell,100.0,0.00,"",0,New
"Restored Dell Optiplex 7020 Desktop Computer, Intel Core i5, 16GB RAM 240GB SSD Windows 10 Professional (Refurbished)",NJ1-MLMC-M5TE,125.47,1,1,3,33.33333333333333,968989323,968989323,6,16.666666666666664,125.47,0.00,0.00,TABLETS,Dell,100.0,117.94,125.47000000000000000,0,Restored: Like New
"Dell OptiPlex 3020 Ultra Small Form Desktop Computer PC, 3.20 GHz Intel i5 Quad Core , 16GB DDR3 RAM, 512SSD HDD Hard Drive, Windows 10 Professional 64Bit (Monitor Not Included)",NHD-8EZG-RO1,289.20,1,1,1,100.0,116130219,116130219,3,33.33333333333333,289.20,0.00,0.00,TABLETS,Dell,100.0,271.85,289.20000000000000000,0,New
"Dell Optiplex 7010 Desktop Computer PC, 3.20 GHz Intel i5 Quad Core Gen 3, 16GB DDR3 RAM, 2TB Hard Disk Drive (HDD) SATA Hard Drive, Windows 11 Professional 64bit (Monitor Not Included)",3BH-NH28-LX5,183.37,1,1,1,100.0,493422184,493422184,1,100.0,183.37,0.00,0.00,COMPUTING,Dell,100.0,172.37,183.37000000000000000,0,New
